title,price,rating,oprice,brand
New Edition i7 Pro Max All in One Series 7 Smart Watch with Fitness Tracker Heart Monitor Men Women Smart Watch Black  ,589,3.3,₹589,Generic
Analog Watches for Men  ,898,4.3,₹898,Sonata
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Electric Blue)  ","1,299",4.0,"₹1,299",Noise
"Fire-Boltt 360 SpO2 Full Touch Large Display Round Smart Watch with in-Built Games, 8 Days Battery Life, IP67 Water Resistant with Blood Oxygen and Heart Rate Monitoring  ","1,799",4.0,"₹1,799",Fire-Boltt
Brand - New 4 Stylish Dial And With Black Led And Bracelet Watch For Boy And Kids Combo Kids And Children Analogue Black Dial Bracelet Led Watch Analog Digital Watch For Boys Pack Of 3  ,299,3.7,₹299,Acnos
"CrossBeats Newly launched Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, SnapCharge™ Calculator, 500+ Watch Faces, AI Health Feature (Black)  ","4,999",4.1,"₹4,999",CrossBeats
"Lowfe Smartwatch W26 Charging Cable, Watch Charger Magnetic 2 pin, Watch Charger, W26+ Charger 4mm Adapter Length 45 cm for Smart Watch(Charge only, Black)  ",199,3.4,₹199,Lowfe
Brand - New 4 Stylish Dial And With Black Led And Bracelet Watch For Boy And Kids Combo Kids And Children Analogue Black Dial Bracelet Led Watch Analog Digital Watch For Boys Pack Of 3  ,299,3.7,₹299,Acnos
"Watches: The History of Time,: The Complete Guide to Servicing And Repairing Your Timepiece  ",0,3.4,₹0,Samuel Johnson
Analog Men's Watch  ,"1,198",4.1,"₹1,198",TIMEX
"Noise Pulse Buzz 1.69"" Bluetooth Calling Smart Watch with Call Function, 150 Watch Faces, 60 Sports Modes, Spo2 & Heart Rate Monitoring, Calling Smart Watch for Men & Women - Jet Black  ","1,899",3.9,"₹1,899",Noise
"Lowfe Smartwatch W26 Charging Cable, Watch Charger Magnetic 2 pin, Watch Charger, W26+ Charger 4mm Adapter Length 45 cm for Smart Watch(Charge only, Black)  ",199,3.4,₹199,Lowfe
"boAt Wave Lite Smartwatch with 1.69 Inches(4.29cm) HD Display, Heart Rate & SpO2 Level Monitor, Multiple Watch Faces, Activity Tracker, Multiple Sports Modes & IP68 (Scarlet Red)  ","1,499",3.9,"₹1,499",boAt
Tees Analog Dial Unisex-Adult Watch  ,950,4.2,₹950,Fastrack
Diamond Studded Stylish Analogue Watch with Rose Gold Dot Bracelet for Girls & Women  ,240,3.8,₹240,ZUPERIA
"Fire-Boltt Ninja 2 SpO2 Full Touch Smartwatch with 30 Workout Modes, Heart Rate Tracking, and 100+ Cloud Watch Faces, 7 Days of extensive Battery - Black  ","1,599",4.1,"₹1,599",Fire-Boltt
Luxury Business Casual Party-Wear Leather Chronograph Date Display Watch for Men  ,"2,890",3.8,"₹2,890",BENYAR
Superfibre Digital Grey Dial Men's Watch NM77034PP03 / NL77034PP03/NP77034PP03  ,"1,349",4.3,"₹1,349",Sonata
Karishma Analog Blue Dial Men's Watch-NL1774SM01/NP1774SM01  ,"2,308",4.2,"₹2,308",Titan
Analog Black Dial Men's Watch-NL3147KM01/NN3147KM01/NP3147KM01  ,"4,250",4.2,"₹4,250",Fastrack
Silver Business Casual Stainless Steel Decorative Subdials Big Black Dial Scratch Resistant Waterproof Watch for Men and Boys  ,849,4.0,₹849,LONGBO
Sporty Digital Grey Dial Men's Watch-NL77043PP02/NP77043PP02  ,549,4.0,₹549,SF
Analog New Track Day Date Functioning Leather Strap Watch for Men  ,329,3.8,₹329,TIMEWEAR
"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls  ",449,3.1,₹449,MARVIK
Mens Chronograph Waterproof Luxury Fashion Military Quartz Sports Analog Wristwatch  ,"2,199",4.4,"₹2,199",Carlson Raulen
"boAt Matrix Smart Watch with 1.65” AMOLED Display, Always On Mode, Slim Premium Design, Heart Rate & SpO2 Monitoring, Health Ecosystem & Multiple Sports Modes, 3ATM & 7 Days Battery Life(Pitch Black)  ","1,499",3.9,"₹1,499",boAt
Analog Men's Watch (Black Dial Black Colored Strap)  ,319,3.5,₹319,VILLS LAURRENS
"Digital 24 Images Projector Watch for Kids Boys Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906  ",289,4.1,₹289,ADAMO
Analog Black Dial Men's Watch-TW000U926  ,"1,812",4.1,"₹1,812",TIMEX
Analog Dial Unisex Watch  ,"1,375",4.0,"₹1,375",FCUK
Venus Digital Grey Dial Men's Watch-NL7982PP03  ,475,4.1,₹475,SF
GREKEY Men's and Women's LED Digital Watch (Black)  ,95,1.5,₹95,Generic
Analog Black Dial Unisex Watch-NG38003PP05W / NG38003PP05W  ,780,4.1,₹780,Fastrack
Super Fibre Digital Grey Dial Men's Watch-NL87011PP04/NP87011PP04  ,600,4.2,₹600,Sonata
Analog Men's Watch (Black Dial Colored Strap)  ,319,4.3,₹319,TIMEWEAR
"boAt Wave Style with 1.69"" Square HD Display, HR & SpO2 Monitoring, 7 Days Battery Life, Multiple Watch Faces, Crest App Health Ecosystem, Multiple Sports Modes, IP68(Deep Blue)  ","1,099",3.9,"₹1,099",boAt
Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men  ,"2,690",4.2,"₹2,690",BENYAR
Decker Chronograph Black Dial Men's Watch-CH2573P  ,"5,845",4.4,"₹5,845",Fossil
